Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,sector
장자울,아파트,200403,EN,106.23,106.23,106.0,280,170000,170000,170000,0,0,,5302,5302,5302,0,0,,37.522518,127.029732,13,1,9,1,25,0,50,2,13,14,47,11,신사동
압구정KCC,아파트,200408,EN,127.36,127.36,127.0,249,280000,280000,280000,0,0,,7288,7288,7288,0,0,,37.526148,127.03248,15,1,6,0,25,0,43,0,9,5,42,11,신사동
대림빌라트,아파트,199810,EN,209.6,209.6,209.0,251,0,0,,260000,300000,260000,0,0,,4112,4745,4112,37.530862,127.027124,3,0,1,0,25,0,9,0,0,3,34,11,신사동
논현힐스빌6차,아파트,200308,EN,231.14,231.14,231.0,149,300000,340000,300000,0,0,,4293,4866,4293,0,0,,37.517497,127.027543,7,0,5,1,25,0,22,1,6,12,29,11,신사동
래미안신사,아파트,200810,EN,113.06,113.06,113.0,206,220000,250000,235000,130000,160000,135000,6436,7314,6875,3803,4681,3949,37.520214,127.019841,9,0,7,1,25,0,37,1,8,11,24,11,신사동
잠원훼미리,아파트,199211,EN,102.47,103.17,102.0,0,235000,250000,250000,75000,90000,78000,7542,8102,8102,2431,2917,2528,37.5192,127.01462,7,0,3,0,22,0,8,0,2,3,9,10,신사동
한강,아파트,198906,EN,94.84,103.75,103.0,240,248000,300000,265000,75000,120000,95000,8024,9629,8505,2407,3851,3049,37.521491,127.015231,6,0,4,0,25,0,11,0,2,4,11,11,신사동
현대빌라트,아파트,199608,NN,203.03,203.03,203.0,237,580000,620000,600000,0,0,,9445,10096,9771,0,0,,37.530497,127.027349,3,1,2,0,25,0,13,0,0,3,34,11,신사동
현대썬앤빌(도시형),아파트,201502,NN,27.74,27.74,27.0,799,0,0,,22000,25000,24000,0,0,,2694,3061,2938,37.52112,127.031368,10,0,9,1,25,0,42,1,8,11,45,11,신사동
금광아크존(주상복합),아파트,200409,NN,86.38,86.38,86.0,279,140000,145000,140000,0,0,,5382,5574,5382,0,0,,37.526553,127.034579,10,0,5,0,25,0,27,0,6,4,39,11,신사동
현대썬앤빌,오피스텔,201502,NN,33.12,35.21,33.0,799,0,0,,23000,28000,26000,0,0,,2304,2805,2605,37.521102,127.031357,10,0,9,1,25,0,42,1,8,11,45,11,신사동
신반포16차,아파트,198301,NN,57.58,91.49,57.0,0,189000,270000,205000,39000,70000,43000,9808,15659,11889,2107,2900,2494,37.517509,127.00991,2,0,3,0,12,0,1,0,0,2,4,2,신사동
미주파스텔,아파트,200207,NN,70.91,104.68,104.0,324,180000,260000,260000,80000,112000,112000,7728,9445,8264,3338,4594,3560,37.517302,127.011022,4,0,3,0,14,0,1,0,0,2,5,2,신사동
미성2차,아파트,198712,NN,95.27,163.56,95.0,0,300000,550000,320000,79000,200000,95000,9025,11831,11135,2749,4056,3306,37.523985,127.019316,5,0,6,1,25,0,17,1,3,8,27,11,신사동
미성1차,아파트,198211,NN,111.97,193.03,163.0,93,380000,600000,550000,99000,230000,180000,9934,11763,11154,2948,4056,3651,37.525563,127.020506,6,0,4,1,25,0,20,2,2,8,30,11,신사동
토미,아파트,200403,NN,99.95,99.95,99.0,249,130000,130000,130000,0,0,,4341,4341,4341,0,0,,37.522252,127.029871,12,1,9,1,25,0,51,2,13,13,47,11,신사동
신사씨티빌,아파트,200201,NN,70.85,70.85,70.0,298,90000,90000,90000,0,0,,4250,4250,4250,0,0,,37.521059,127.020693,9,0,7,1,25,0,37,3,7,13,29,11,신사동
압구정아인빌,아파트,200705,NN,104.58,104.58,104.0,243,160000,180000,160000,0,0,,5086,5722,5086,0,0,,37.521481,127.029248,13,0,8,1,25,0,40,2,10,20,45,11,신사동
현대14차,아파트,198704,NN,96.49,99.48,99.0,194,420000,450000,440000,100000,120000,120000,14025,15496,14692,3339,4132,4007,37.530769,127.026253,2,0,1,0,25,0,8,0,0,3,34,11,신사동
잠원현대,아파트,199304,NN,103.77,103.77,103.0,299,225000,252000,245000,105000,120000,110000,7221,8088,7863,3370,3851,3530,37.51867,127.012904,4,0,3,0,21,0,4,0,1,3,6,8,신사동
"신현대(현대9,11,12차)",아파트,198205,NN,114.08,202.05,202.0,0,400000,700000,690000,89000,250000,240000,11292,11691,11292,2521,4091,3928,37.52811,127.024501,6,1,2,1,25,0,25,0,0,4,34,11,신사동
롯데캐슬갤럭시2차,아파트,200404,NN,128.98,168.28,153.0,299,300000,340000,340000,150000,200000,190000,6592,8713,7346,3241,4649,4105,37.518663,127.016434,7,0,4,0,24,0,16,1,2,6,10,10,신사동
래미안신반포리오센트,아파트,201906,NN,85.91,172.8,172.0,299,248000,440000,410000,200000,230000,,7592,10890,7880,5158,5800,,37.518478,127.013762,5,0,3,0,21,0,5,0,1,3,7,9,신사동
현대맨션,아파트,198012,NN,159.5,213.92,213.0,0,400000,550000,550000,0,0,,8316,9000,8536,0,0,,37.525034,127.029564,14,1,9,1,25,0,50,1,15,12,44,11,신사동
한양,아파트,200309,NN,82.32,82.32,82.0,221,120000,120000,120000,0,0,,4838,4838,4838,0,0,,37.52194,127.025905,14,0,7,1,25,0,51,2,9,17,44,11,신사동
현대아인빌,아파트,200403,NN,143.09,143.09,143.0,283,0,0,,110000,120000,110000,0,0,,2543,2774,2543,37.523727,127.026277,9,1,7,1,25,0,49,1,9,16,45,11,신사동
신성,아파트,199610,NN,72.11,72.11,72.0,195,170000,170000,170000,0,0,,7805,7805,7805,0,0,,37.526377,127.031877,14,1,6,0,25,0,44,0,10,7,41,11,신사동
진흥아마란스,아파트,200503,NN,197.77,197.77,197.0,294,280000,280000,280000,0,0,,4699,4699,4699,0,0,,37.523703,127.031052,13,1,10,1,25,0,57,1,10,9,44,11,신사동
현대13차,아파트,198407,NN,116.03,119.5,119.0,150,450000,460000,450000,90000,125000,100000,12501,13109,12501,2565,3562,2778,37.529279,127.027751,6,1,3,1,25,0,27,0,0,4,38,11,신사동
루덴하우스,아파트,200704,NN,102.33,102.33,102.0,222,0,0,,80000,80000,80000,0,0,,2593,2593,2593,37.521553,127.021599,9,0,7,1,25,0,38,3,7,17,31,11,신사동
한양6차,아파트,198012,NN,115.1,168.7,115.0,0,390000,590000,400000,84000,200000,90000,11211,11786,11498,2415,3935,2587,37.530082,127.036445,5,0,2,0,25,0,15,0,3,3,25,11,신사동
잠원상지리츠빌카일룸,아파트,200901,NN,204.64,204.64,204.0,229,550000,750000,675000,370000,370000,370000,8913,12154,10938,5996,5996,5996,37.522093,127.016049,7,0,5,1,25,0,12,1,1,6,15,11,신사동
압구정하이츠파크,아파트,200404,NN,270.55,270.55,270.0,297,600000,600000,600000,0,0,,7346,7346,7346,0,0,,37.523842,127.033697,10,0,7,0,25,0,38,0,3,5,43,11,신사동
강변,아파트,198707,NN,89.35,101.08,101.0,243,220000,270000,255000,65000,120000,110000,8117,8837,8346,2414,3928,3600,37.517893,127.012699,4,0,3,0,15,0,4,0,0,3,6,8,신사동
크레신타워,오피스텔,200402,NN,54.75,63.64,54.0,876,30500,35000,30900,20000,20000,20000,1784,1898,1892,1224,1224,1224,37.518229,127.018453,8,0,6,0,25,0,25,1,4,6,12,11,신사동
"현대6,7차",아파트,197809,NN,156.13,264.87,156.0,210,510000,800000,520000,145000,400000,175000,10695,12715,11019,2820,5458,3708,37.530219,127.028999,7,1,2,0,25,0,24,0,0,4,34,11,신사동
청학,아파트,197612,NN,87.15,99.65,87.0,220,230000,300000,250000,55000,59000,55000,7680,10018,9499,2090,2242,2090,37.520645,127.032822,10,0,7,0,25,0,32,0,8,8,43,11,신사동
잠원빌라트,아파트,199609,NN,261.23,261.23,261.0,241,0,0,,220000,220000,220000,0,0,,2786,2786,2786,37.518621,127.0114,4,0,3,0,14,0,1,0,0,3,5,2,신사동
세양에이팩스타워,오피스텔,200308,NN,48.89,60.96,48.0,880,30000,32000,30000,22000,22000,22000,1763,2066,2066,1515,1515,1515,37.518481,127.02604,7,0,6,1,25,0,29,2,10,15,35,11,신사동
강남상가아파트(주상복합),아파트,197411,NN,63.31,130.61,63.0,387,74000,150000,74500,33000,40000,34000,3814,4671,3909,1678,2034,1784,37.51879,127.02054,9,0,6,1,25,0,34,1,8,9,22,11,신사동
롯데캐슬갤럭시1차,아파트,200207,NN,140.41,171.98,140.0,312,310000,315000,315000,180000,185000,,7320,7438,7438,3480,3576,,37.520366,127.016502,9,0,5,1,25,0,17,1,3,6,11,11,신사동
장자울,아파트,200403,NN,106.23,106.23,106.0,280,170000,170000,170000,0,0,,5302,5302,5302,0,0,,37.522518,127.029732,13,1,9,1,25,0,50,2,13,14,47,11,신사동
압구정KCC,아파트,200408,NN,127.36,127.36,127.0,249,280000,280000,280000,0,0,,7288,7288,7288,0,0,,37.526148,127.03248,15,1,6,0,25,0,43,0,9,5,42,11,신사동
대림빌라트,아파트,199810,NN,209.6,209.6,209.0,251,0,0,,260000,300000,260000,0,0,,4112,4745,4112,37.530862,127.027124,3,0,1,0,25,0,9,0,0,3,34,11,신사동
논현힐스빌6차,아파트,200308,NN,231.14,231.14,231.0,149,300000,340000,300000,0,0,,4293,4866,4293,0,0,,37.517497,127.027543,7,0,5,1,25,0,22,1,6,12,29,11,신사동
래미안신사,아파트,200810,NN,113.06,113.06,113.0,206,220000,250000,235000,130000,160000,135000,6436,7314,6875,3803,4681,3949,37.520214,127.019841,9,0,7,1,25,0,37,1,8,11,24,11,신사동
잠원훼미리,아파트,199211,NN,102.47,103.17,102.0,0,235000,250000,250000,75000,90000,78000,7542,8102,8102,2431,2917,2528,37.5192,127.01462,7,0,3,0,22,0,8,0,2,3,9,10,신사동
한강,아파트,198906,NN,94.84,103.75,103.0,240,248000,300000,265000,75000,120000,95000,8024,9629,8505,2407,3851,3049,37.521491,127.015231,6,0,4,0,25,0,11,0,2,4,11,11,신사동
현대빌라트,아파트,199608,WN,203.03,203.03,203.0,237,580000,620000,600000,0,0,,9445,10096,9771,0,0,,37.530497,127.027349,3,1,2,0,25,0,13,0,0,3,34,11,신사동
현대썬앤빌(도시형),아파트,201502,WN,27.74,27.74,27.0,799,0,0,,22000,25000,24000,0,0,,2694,3061,2938,37.52112,127.031368,10,0,9,1,25,0,42,1,8,11,45,11,신사동
금광아크존(주상복합),아파트,200409,WN,86.38,86.38,86.0,279,140000,145000,140000,0,0,,5382,5574,5382,0,0,,37.526553,127.034579,10,0,5,0,25,0,27,0,6,4,39,11,신사동
현대썬앤빌,오피스텔,201502,WN,33.12,35.21,33.0,799,0,0,,23000,28000,26000,0,0,,2304,2805,2605,37.521102,127.031357,10,0,9,1,25,0,42,1,8,11,45,11,신사동
신반포16차,아파트,198301,WN,57.58,91.49,57.0,0,189000,270000,205000,39000,70000,43000,9808,15659,11889,2107,2900,2494,37.517509,127.00991,2,0,3,0,12,0,1,0,0,2,4,2,신사동
미주파스텔,아파트,200207,WN,70.91,104.68,104.0,324,180000,260000,260000,80000,112000,112000,7728,9445,8264,3338,4594,3560,37.517302,127.011022,4,0,3,0,14,0,1,0,0,2,5,2,신사동
미성2차,아파트,198712,WN,95.27,163.56,95.0,0,300000,550000,320000,79000,200000,95000,9025,11831,11135,2749,4056,3306,37.523985,127.019316,5,0,6,1,25,0,17,1,3,8,27,11,신사동
미성1차,아파트,198211,WN,111.97,193.03,163.0,93,380000,600000,550000,99000,230000,180000,9934,11763,11154,2948,4056,3651,37.525563,127.020506,6,0,4,1,25,0,20,2,2,8,30,11,신사동
토미,아파트,200403,WN,99.95,99.95,99.0,249,130000,130000,130000,0,0,,4341,4341,4341,0,0,,37.522252,127.029871,12,1,9,1,25,0,51,2,13,13,47,11,신사동
신사씨티빌,아파트,200201,WN,70.85,70.85,70.0,298,90000,90000,90000,0,0,,4250,4250,4250,0,0,,37.521059,127.020693,9,0,7,1,25,0,37,3,7,13,29,11,신사동
압구정아인빌,아파트,200705,WN,104.58,104.58,104.0,243,160000,180000,160000,0,0,,5086,5722,5086,0,0,,37.521481,127.029248,13,0,8,1,25,0,40,2,10,20,45,11,신사동
현대14차,아파트,198704,WN,96.49,99.48,99.0,194,420000,450000,440000,100000,120000,120000,14025,15496,14692,3339,4132,4007,37.530769,127.026253,2,0,1,0,25,0,8,0,0,3,34,11,신사동
잠원현대,아파트,199304,WN,103.77,103.77,103.0,299,225000,252000,245000,105000,120000,110000,7221,8088,7863,3370,3851,3530,37.51867,127.012904,4,0,3,0,21,0,4,0,1,3,6,8,신사동
"신현대(현대9,11,12차)",아파트,198205,WN,114.08,202.05,202.0,0,400000,700000,690000,89000,250000,240000,11292,11691,11292,2521,4091,3928,37.52811,127.024501,6,1,2,1,25,0,25,0,0,4,34,11,신사동
롯데캐슬갤럭시2차,아파트,200404,WN,128.98,168.28,153.0,299,300000,340000,340000,150000,200000,190000,6592,8713,7346,3241,4649,4105,37.518663,127.016434,7,0,4,0,24,0,16,1,2,6,10,10,신사동
래미안신반포리오센트,아파트,201906,WN,85.91,172.8,172.0,299,248000,440000,410000,200000,230000,,7592,10890,7880,5158,5800,,37.518478,127.013762,5,0,3,0,21,0,5,0,1,3,7,9,신사동
현대맨션,아파트,198012,WN,159.5,213.92,213.0,0,400000,550000,550000,0,0,,8316,9000,8536,0,0,,37.525034,127.029564,14,1,9,1,25,0,50,1,15,12,44,11,신사동
한양,아파트,200309,WN,82.32,82.32,82.0,221,120000,120000,120000,0,0,,4838,4838,4838,0,0,,37.52194,127.025905,14,0,7,1,25,0,51,2,9,17,44,11,신사동
현대아인빌,아파트,200403,WN,143.09,143.09,143.0,283,0,0,,110000,120000,110000,0,0,,2543,2774,2543,37.523727,127.026277,9,1,7,1,25,0,49,1,9,16,45,11,신사동
신성,아파트,199610,WN,72.11,72.11,72.0,195,170000,170000,170000,0,0,,7805,7805,7805,0,0,,37.526377,127.031877,14,1,6,0,25,0,44,0,10,7,41,11,신사동
진흥아마란스,아파트,200503,WN,197.77,197.77,197.0,294,280000,280000,280000,0,0,,4699,4699,4699,0,0,,37.523703,127.031052,13,1,10,1,25,0,57,1,10,9,44,11,신사동
현대13차,아파트,198407,WN,116.03,119.5,119.0,150,450000,460000,450000,90000,125000,100000,12501,13109,12501,2565,3562,2778,37.529279,127.027751,6,1,3,1,25,0,27,0,0,4,38,11,신사동
루덴하우스,아파트,200704,WN,102.33,102.33,102.0,222,0,0,,80000,80000,80000,0,0,,2593,2593,2593,37.521553,127.021599,9,0,7,1,25,0,38,3,7,17,31,11,신사동
한양6차,아파트,198012,WN,115.1,168.7,115.0,0,390000,590000,400000,84000,200000,90000,11211,11786,11498,2415,3935,2587,37.530082,127.036445,5,0,2,0,25,0,15,0,3,3,25,11,신사동
잠원상지리츠빌카일룸,아파트,200901,WN,204.64,204.64,204.0,229,550000,750000,675000,370000,370000,370000,8913,12154,10938,5996,5996,5996,37.522093,127.016049,7,0,5,1,25,0,12,1,1,6,15,11,신사동
압구정하이츠파크,아파트,200404,WN,270.55,270.55,270.0,297,600000,600000,600000,0,0,,7346,7346,7346,0,0,,37.523842,127.033697,10,0,7,0,25,0,38,0,3,5,43,11,신사동
강변,아파트,198707,WN,89.35,101.08,101.0,243,220000,270000,255000,65000,120000,110000,8117,8837,8346,2414,3928,3600,37.517893,127.012699,4,0,3,0,15,0,4,0,0,3,6,8,신사동
크레신타워,오피스텔,200402,WN,54.75,63.64,54.0,876,30500,35000,30900,20000,20000,20000,1784,1898,1892,1224,1224,1224,37.518229,127.018453,8,0,6,0,25,0,25,1,4,6,12,11,신사동
"현대6,7차",아파트,197809,WN,156.13,264.87,156.0,210,510000,800000,520000,145000,400000,175000,10695,12715,11019,2820,5458,3708,37.530219,127.028999,7,1,2,0,25,0,24,0,0,4,34,11,신사동
청학,아파트,197612,WN,87.15,99.65,87.0,220,230000,300000,250000,55000,59000,55000,7680,10018,9499,2090,2242,2090,37.520645,127.032822,10,0,7,0,25,0,32,0,8,8,43,11,신사동
잠원빌라트,아파트,199609,WN,261.23,261.23,261.0,241,0,0,,220000,220000,220000,0,0,,2786,2786,2786,37.518621,127.0114,4,0,3,0,14,0,1,0,0,3,5,2,신사동
세양에이팩스타워,오피스텔,200308,WN,48.89,60.96,48.0,880,30000,32000,30000,22000,22000,22000,1763,2066,2066,1515,1515,1515,37.518481,127.02604,7,0,6,1,25,0,29,2,10,15,35,11,신사동
강남상가아파트(주상복합),아파트,197411,WN,63.31,130.61,63.0,387,74000,150000,74500,33000,40000,34000,3814,4671,3909,1678,2034,1784,37.51879,127.02054,9,0,6,1,25,0,34,1,8,9,22,11,신사동
롯데캐슬갤럭시1차,아파트,200207,WN,140.41,171.98,140.0,312,310000,315000,315000,180000,185000,,7320,7438,7438,3480,3576,,37.520366,127.016502,9,0,5,1,25,0,17,1,3,6,11,11,신사동
장자울,아파트,200403,WN,106.23,106.23,106.0,280,170000,170000,170000,0,0,,5302,5302,5302,0,0,,37.522518,127.029732,13,1,9,1,25,0,50,2,13,14,47,11,신사동
압구정KCC,아파트,200408,WN,127.36,127.36,127.0,249,280000,280000,280000,0,0,,7288,7288,7288,0,0,,37.526148,127.03248,15,1,6,0,25,0,43,0,9,5,42,11,신사동
대림빌라트,아파트,199810,WN,209.6,209.6,209.0,251,0,0,,260000,300000,260000,0,0,,4112,4745,4112,37.530862,127.027124,3,0,1,0,25,0,9,0,0,3,34,11,신사동
논현힐스빌6차,아파트,200308,WN,231.14,231.14,231.0,149,300000,340000,300000,0,0,,4293,4866,4293,0,0,,37.517497,127.027543,7,0,5,1,25,0,22,1,6,12,29,11,신사동
래미안신사,아파트,200810,WN,113.06,113.06,113.0,206,220000,250000,235000,130000,160000,135000,6436,7314,6875,3803,4681,3949,37.520214,127.019841,9,0,7,1,25,0,37,1,8,11,24,11,신사동
잠원훼미리,아파트,199211,WN,102.47,103.17,102.0,0,235000,250000,250000,75000,90000,78000,7542,8102,8102,2431,2917,2528,37.5192,127.01462,7,0,3,0,22,0,8,0,2,3,9,10,신사동
한강,아파트,198906,WN,94.84,103.75,103.0,240,248000,300000,265000,75000,120000,95000,8024,9629,8505,2407,3851,3049,37.521491,127.015231,6,0,4,0,25,0,11,0,2,4,11,11,신사동
현대빌라트,아파트,199608,EE,203.03,203.03,203.0,237,580000,620000,600000,0,0,,9445,10096,9771,0,0,,37.530497,127.027349,3,1,2,1,27,0,13,0,1,8,35,11,압구정동
현대5차,아파트,197712,EE,113.96,113.96,113.0,170,0,0,,110000,125000,110000,0,0,,3218,3657,3218,37.532062,127.028466,2,0,1,1,27,0,6,0,2,7,31,11,압구정동
금광아크존(주상복합),아파트,200409,EE,86.38,86.38,86.0,279,140000,145000,140000,0,0,,5382,5574,5382,0,0,,37.526553,127.034579,10,0,5,1,27,0,31,1,8,6,35,11,압구정동
트윈빌,아파트,200812,EE,200.51,200.51,200.0,0,282000,290000,290000,0,0,,4661,4793,4793,0,0,,37.534173,127.01038,0,0,0,0,14,0,1,1,1,1,0,10,압구정동
"현대1,2차",아파트,197606,EE,141.74,213.46,176.0,224,430000,800000,610000,130000,300000,190000,10081,12534,11458,2630,4700,3569,37.533207,127.027512,0,0,0,1,27,0,5,0,2,7,29,11,압구정동
미성2차,아파트,198712,EE,95.27,163.56,95.0,0,300000,550000,320000,79000,200000,95000,9025,11831,11135,2749,4056,3306,37.523985,127.019316,5,0,2,1,27,0,10,1,2,5,20,11,압구정동
현대3차,아파트,197611,EE,108.88,108.88,108.0,0,430000,430000,430000,80000,100000,90000,13162,13162,13162,2449,3061,2755,37.532421,127.032727,6,0,1,1,27,0,3,0,0,8,27,11,압구정동
미성1차,아파트,198211,EE,111.97,193.03,163.0,93,380000,600000,550000,99000,230000,180000,9934,11763,11154,2948,4056,3651,37.525563,127.020506,6,0,2,1,27,0,16,2,2,6,24,11,압구정동
디자인플러스,아파트,200010,EE,189.98,189.98,189.0,228,250000,350000,250000,0,0,,4373,6122,4373,0,0,,37.533622,127.010474,0,0,0,0,15,0,1,1,1,1,0,10,압구정동
토미,아파트,200403,EE,99.95,99.95,99.0,249,130000,130000,130000,0,0,,4341,4341,4341,0,0,,37.522252,127.029871,6,1,6,1,27,0,31,1,9,5,36,11,압구정동
로데오현대,아파트,199811,EE,73.95,122.1,122.0,308,125000,230000,230000,110000,115000,115000,5661,6793,6232,2981,3116,3116,37.52667,127.0373,6,0,4,1,27,0,24,1,7,5,31,11,압구정동
빌라드그리움L,아파트,202003,EE,118.31,328.87,328.0,67,320000,834800,834800,0,0,,8387,8965,8414,0,0,,37.533969,127.012961,0,0,0,0,27,0,1,1,0,1,0,10,압구정동
현대65동(대림아크로빌),아파트,197906,EE,281.81,281.81,281.0,240,0,0,,350000,350000,350000,0,0,,4118,4118,4118,37.531534,127.032195,6,0,1,1,27,0,12,0,0,8,30,11,압구정동
현대14차,아파트,198704,EE,96.49,99.48,99.0,194,420000,450000,440000,100000,120000,120000,14025,15496,14692,3339,4132,4007,37.530769,127.026253,2,0,1,1,27,0,8,0,1,8,35,11,압구정동
"신현대(현대9,11,12차)",아파트,198205,EE,114.08,202.05,202.0,0,400000,700000,690000,89000,250000,240000,11292,11691,11292,2521,4091,3928,37.52811,127.024501,6,1,2,1,27,0,25,0,0,5,33,11,압구정동
현대맨션,아파트,198012,EE,159.5,213.92,213.0,0,400000,550000,550000,0,0,,8316,9000,8536,0,0,,37.525034,127.029564,13,1,7,1,27,0,42,1,15,10,37,11,압구정동
현대아인빌,아파트,200403,EE,143.09,143.09,143.0,283,0,0,,110000,120000,110000,0,0,,2543,2774,2543,37.523727,127.026277,9,1,5,1,27,0,36,1,8,9,35,11,압구정동
신성,아파트,199610,EE,72.11,72.11,72.0,195,170000,170000,170000,0,0,,7805,7805,7805,0,0,,37.526377,127.031877,14,1,6,1,27,0,46,1,10,8,37,11,압구정동
진흥아마란스,아파트,200503,EE,197.77,197.77,197.0,294,280000,280000,280000,0,0,,4699,4699,4699,0,0,,37.523703,127.031052,9,1,7,1,27,0,40,1,9,5,37,11,압구정동
현대13차,아파트,198407,EE,116.03,119.5,119.0,150,450000,460000,450000,90000,125000,100000,12501,13109,12501,2565,3562,2778,37.529279,127.027751,6,1,3,2,27,0,27,0,0,9,35,11,압구정동
장학파르크한남,아파트,202006,EE,320.14,320.69,320.0,162,1400000,1500000,1500000,0,0,,14463,15496,15496,0,0,,37.531433,127.011479,0,0,0,0,26,0,1,1,0,1,0,10,압구정동
한양6차,아파트,198012,EE,115.1,168.7,115.0,0,390000,590000,400000,84000,200000,90000,11211,11786,11498,2415,3935,2587,37.530082,127.036445,5,0,2,1,27,0,17,1,3,5,26,11,압구정동
효성빌리지,아파트,200008,EE,98.89,99.15,99.0,258,195000,240000,240000,120000,120000,120000,6578,8014,8014,4007,4007,4007,37.532945,127.012195,0,0,0,0,26,0,1,1,1,1,0,10,압구정동
압구정하이츠파크,아파트,200404,EE,270.55,270.55,270.0,297,600000,600000,600000,0,0,,7346,7346,7346,0,0,,37.523842,127.033697,6,0,6,0,27,0,29,0,3,4,36,11,압구정동
현대10차,아파트,198206,EE,115.41,164.59,115.0,228,450000,450000,450000,94000,200000,100000,12936,12936,12936,2702,4031,2875,37.531663,127.025959,0,0,0,1,27,0,7,0,1,8,34,11,압구정동
대원칸타빌,아파트,200107,EE,85.08,107.94,85.0,293,155000,200000,155000,80000,115000,115000,5561,6179,6028,2671,4473,4473,37.527501,127.037101,6,0,4,1,27,0,22,1,8,5,32,11,압구정동
"현대6,7차",아파트,197809,EE,156.13,264.87,156.0,210,510000,800000,520000,145000,400000,175000,10695,12715,11019,2820,5458,3708,37.530219,127.028999,7,1,2,1,27,0,24,0,0,9,35,11,압구정동
상월대,아파트,201311,EE,168.36,196.57,196.0,0,400000,450000,425000,310000,320000,,6747,7733,7168,5958,6297,,37.53534,127.014076,0,0,0,0,27,0,1,1,0,1,0,10,압구정동
